Unnamed: 0,DSL D-95,FIC21185(F1 Flow),FIC21192(F2 Flow),TIC23115(Feed1 T),TI23029(Feed2 T),FIC23108(SS Flow),PI23105(F Zone P),TI23120(F Zone T),TI23121(SS T),PI23038(BTM P),TI23123(Reflux T),TI23502(D/O Vapor T),FI23107(OF Flow),TI23122(BTM T),TI23116(Top T),TI23117(DSL S Vapor T),TI23119(OV T),PIC23106(Top P),FIC23104(Reflux F),FIC23010(D/O Flow),FI23116(T-AR Flow 1),FI23117(T-AR Flow 2),FIC25103(OVHD Flow 1),FIC23110(OVHD Flow 2),TI23118(D/O Liquid T),FIC23133(R/D Flow),FIC23105(P/A RT Flow),TI23028(P/A RT T),TI21022A(Catalyst T 1),TI21022B(Catalyst T 2),year,month,date,hour
2015-01-17 7:00,394.8,528.4787,53.6618,371.5018,324.8033,12.6985,0.8889,364.0366,296.4336,0.9706,42.8775,301.162,22.7964,361.9156,109.7737,246.5355,336.3783,0.6691,83.2076,106.5739,93.5433,348.3495,2.0508,10.8024,243.7034,99.3062,332.2447,204.0237,377.4196,377.3759,2015,1,17,7
2015-01-18 7:00,395.4,528.2872,53.9708,371.4854,324.327,12.6985,0.8922,364.5559,297.2902,0.974,43.5408,303.2356,24.2747,361.7496,109.7241,246.2503,336.3151,0.6694,86.9622,106.45,92.5972,347.8953,2.088,11.0,242.2984,99.7841,331.9783,203.775,377.3813,377.4207,2015,1,18,7
2015-01-19 7:00,394.2,527.781,52.8701,370.9985,324.2124,12.6994,0.8862,363.3404,297.5187,0.9687,42.9646,303.8975,26.4711,361.1,109.5172,247.7393,337.9963,0.6688,80.4418,106.182,97.5359,342.0464,1.9539,12.156,244.4483,98.9671,331.9109,204.1797,377.2677,377.2554,2015,1,19,7
2015-01-20 7:00,396.0,534.8679,54.0037,371.5091,324.399,12.7014,0.8939,364.6162,297.2249,0.9755,43.8992,302.8831,24.218,361.8296,109.7153,247.4845,336.2963,0.669,86.9657,108.0401,94.6288,352.4484,2.1423,11.5195,243.6264,100.6282,332.1122,204.3378,377.8449,377.8969,2015,1,20,7
2015-01-21 7:00,396.0,539.7858,54.9835,371.4855,323.89,12.6944,0.8984,364.3392,298.0462,0.9808,45.0538,303.042,27.1584,361.5514,109.3864,247.4304,338.3377,0.6694,91.9266,110.5659,103.1489,344.92,2.2143,11.0949,243.0506,103.0263,331.8317,204.0241,377.7269,377.7191,2015,1,21,7
2015-01-22 7:00,397.4,547.3943,55.1826,371.496,324.5857,12.701,0.8962,366.023,297.3211,0.9789,45.2464,306.1176,22.7809,362.0046,109.5081,247.861,334.6168,0.6692,92.0924,112.2729,105.3901,350.4408,2.2238,12.2034,244.5959,104.976,331.9018,204.3791,377.6831,377.7644,2015,1,22,7
2015-01-23 7:00,402.4,546.3607,55.7788,371.7008,324.6234,12.7037,0.8954,366.1417,297.4525,0.9764,44.1037,310.2075,23.3997,362.1206,109.5663,248.851,337.9382,0.669,92.1494,114.1406,94.4557,357.665,2.2767,11.8433,245.8322,106.4046,332.1609,204.5499,378.3268,378.3183,2015,1,23,7
2015-01-24 7:00,395.4,546.4946,55.8029,372.0028,324.1182,12.5991,0.8983,366.675,297.0285,0.9799,44.9666,310.9108,22.6658,362.2505,109.4892,247.8021,338.8012,0.6688,98.1861,116.9446,93.054,357.8642,2.2966,11.6588,245.0105,109.5131,331.9184,204.4416,378.312,378.3369,2015,1,24,7
2015-01-25 7:00,398.0,547.0355,55.2789,371.9966,324.8498,12.6018,0.8918,366.067,297.6147,0.9735,42.9601,309.9881,24.6941,362.2827,109.3729,248.0589,339.2361,0.6695,91.9992,112.3723,96.9161,356.4439,2.0751,12.3815,245.2371,105.5609,345.0412,204.6787,378.2157,378.2525,2015,1,25,7
2015-01-26 7:00,397.4,545.7245,54.532,372.0022,324.8671,12.5968,0.8936,365.5442,297.8398,0.9765,45.6523,307.5457,27.4031,362.1599,109.4321,247.6629,338.055,0.6694,97.5842,113.0379,109.0946,346.4202,2.1451,11.3332,244.0118,105.6514,345.0123,204.5136,378.0434,378.0558,2015,1,26,7
2015-01-27 7:00,394.2,546.2679,55.8566,372.1862,324.3344,12.6012,0.899,365.835,296.5134,0.9812,44.5128,305.22,23.1491,362.5737,109.5362,246.9892,335.4307,0.6689,100.3646,113.8462,93.2445,361.3706,2.3286,11.7205,243.0478,104.5414,345.0659,204.634,378.699,378.7207,2015,1,27,7
2015-01-28 7:00,397.4,546.6109,55.9305,372.1728,324.1095,12.5986,0.9011,366.7203,296.265,0.9825,44.0723,305.8414,18.5712,362.6963,109.8682,247.1595,335.3617,0.6691,102.5274,116.0492,87.1105,364.9812,2.3564,11.5189,243.4725,109.9446,347.4211,204.9188,378.8242,378.8239,2015,1,28,7
2015-01-29 7:00,399.2,544.6501,56.2719,372.0134,323.8349,12.5978,0.9006,366.1422,297.1832,0.9823,44.8652,308.2645,25.2149,362.3647,109.6268,247.5176,337.9608,0.6696,102.4698,116.3553,78.0795,372.4685,2.2402,11.0103,243.6416,109.2929,348.0499,204.7344,378.6973,378.7665,2015,1,29,7
2015-01-30 7:00,397.4,545.4471,57.3109,371.9861,323.6745,12.4011,0.901,366.7209,296.6731,0.9825,44.7289,309.302,23.3975,362.3773,109.5631,247.1291,336.7071,0.6692,105.0394,118.0261,99.2443,351.858,2.3809,12.0034,243.1998,110.091,350.0386,204.7509,379.1459,379.2473,2015,1,30,7
2015-01-31 7:00,404.2,546.903,56.3243,372.0051,323.9393,12.4004,0.8975,368.376,295.9104,0.9785,43.6752,316.5099,14.2022,362.8092,109.8035,247.5382,338.4428,0.6689,102.8761,120.7682,71.1609,377.19,2.3644,11.6212,243.8505,113.943,350.0955,204.2158,379.3137,379.3367,2015,1,31,7
2015-02-01 7:00,402.4,546.2812,57.4022,372.2418,323.9906,12.2984,0.9017,367.6025,296.1641,0.9826,44.2053,312.4161,19.3913,362.8611,109.6957,247.2673,340.5649,0.6693,105.88,120.6287,80.7118,367.8728,2.3626,10.8778,242.5588,113.0527,349.9871,204.5368,379.2608,379.2956,2015,2,1,7
2015-02-02 7:00,401.8,545.7258,56.4232,371.5033,324.2215,12.4018,0.897,366.35,296.9663,0.9778,44.6238,312.2484,21.7878,361.9721,109.68,247.7207,340.5299,0.6691,100.7751,117.4922,91.4835,359.6546,2.2325,11.504,243.1254,109.8196,355.0378,204.7354,379.1705,379.1452,2015,2,2,7
2015-02-03 7:00,399.2,545.0907,58.192,372.0011,324.181,12.4017,0.8994,366.162,297.3344,0.9813,45.0154,306.984,23.8615,362.2745,109.5761,247.6453,339.1943,0.6689,100.1721,115.8239,100.6821,350.3296,2.2676,10.7607,242.4897,108.5077,355.9884,204.5551,379.6481,379.6892,2015,2,3,7
2015-02-04 7:00,401.8,545.2174,58.3365,371.9916,324.4085,12.3991,0.8997,366.6838,297.3241,0.9815,45.0874,306.7516,23.5633,362.3958,109.664,248.1476,337.892,0.6693,100.8014,116.9018,80.575,369.5137,2.2443,10.9054,242.7727,109.152,355.918,204.093,379.6029,379.7468,2015,2,4,7
2015-02-05 7:00,392.4,552.026,57.8474,371.9946,324.9571,12.3999,0.9006,365.9855,295.0963,0.9817,44.1934,305.9225,21.9098,362.5432,109.7525,247.9391,337.1441,0.6692,100.815,116.7041,80.4824,377.4382,2.3461,10.4074,241.3202,108.2322,358.1176,204.0067,379.7286,379.743,2015,2,5,7
2015-02-06 7:00,401.6,559.4597,59.4484,372.1796,324.4409,12.4016,0.9008,367.0446,295.5551,0.9822,42.822,307.259,20.975,362.746,109.8248,248.0379,337.5101,0.6696,99.3178,120.0681,84.1213,376.8961,2.3467,11.3588,241.6219,111.3528,370.2573,203.1181,380.2861,380.304,2015,2,6,7
2015-02-07 7:00,398.0,557.9373,59.444,372.1632,324.6805,12.2976,0.896,367.2321,296.0932,0.9773,44.7536,310.7176,24.1782,362.4388,109.5696,248.438,341.553,0.6693,99.7795,120.8688,89.1808,369.759,2.3425,11.6126,242.7497,112.5607,380.0436,203.922,380.2502,380.3021,2015,2,7,7
2015-02-08 7:00,403.0,556.8705,60.101,372.6915,324.316,12.1984,0.9012,368.0228,294.5715,0.9819,44.4356,311.8402,20.6689,363.3368,109.6345,247.9059,340.7338,0.6688,103.7726,123.7277,73.1434,384.9821,2.4172,11.1454,241.6229,114.2988,389.7618,204.0132,380.3437,380.3091,2015,2,8,7
2015-02-09 7:00,401.2,558.7087,60.8042,372.6739,324.2547,12.3012,0.9004,368.0374,294.4499,0.9801,43.2846,309.7528,15.0644,363.687,110.0279,247.5385,339.3958,0.6693,101.792,123.129,82.8617,374.4598,2.4015,11.2236,241.4688,118.2662,392.8564,204.2133,380.5943,380.5885,2015,2,9,7
2015-02-10 7:00,398.0,556.857,61.8914,373.8645,324.7717,12.2992,0.9,367.0561,296.114,0.9806,44.4478,301.6573,22.1018,363.9287,109.7463,248.6491,342.0145,0.6694,94.6161,118.5906,113.2808,346.4835,2.1816,11.2696,242.1012,112.8005,399.5145,203.4959,380.3587,380.3429,2015,2,10,7
2015-02-11 7:00,399.8,556.1496,61.8179,374.6728,325.5257,12.3029,0.9036,368.5558,296.3336,0.9846,45.7766,305.1175,22.8932,364.6042,109.4936,249.2371,342.9775,0.6689,99.9794,121.9465,82.8415,375.8978,2.5377,11.5434,242.1659,113.9866,399.5511,204.0276,380.2781,380.2015,2015,2,11,7
2015-02-12 7:00,399.2,555.2029,61.5778,375.4683,325.8149,13.2998,0.8929,369.4319,297.9976,0.9749,43.7311,303.5687,23.2409,365.054,109.5747,239.2796,339.9172,0.6695,79.2939,131.6891,93.4219,364.1403,2.4015,11.2664,245.7335,115.4606,400.0057,200.0837,380.1441,380.2235,2015,2,12,7
2015-02-13 7:00,395.4,540.7094,63.2734,376.3507,325.4068,13.2997,0.8952,369.0504,297.7887,0.9758,43.0607,301.8661,23.2736,365.9205,109.8359,241.9559,344.3749,0.6689,81.6771,130.7454,91.0509,353.2499,2.3709,11.6989,245.6624,116.3319,400.0196,200.7389,380.7977,380.7386,2015,2,13,7
2015-02-14 7:00,393.6,540.2401,64.2426,376.3478,324.9654,13.3013,0.8966,368.6224,297.6664,0.9774,44.0362,301.1207,24.7343,365.3855,109.6388,243.4238,344.7155,0.6691,83.8777,131.3753,93.5949,350.9996,2.4426,11.8948,244.8427,115.5431,399.8031,200.4242,380.6953,380.6989,2015,2,14,7
2015-02-15 7:00,396.0,527.2891,63.5604,376.8281,324.8806,13.3008,0.894,369.1226,299.2391,0.9755,45.0875,301.9052,26.6562,365.3423,109.2994,243.896,344.494,0.669,82.9274,129.8669,84.0019,345.4041,2.3691,11.932,244.8285,113.2473,390.0862,199.3202,380.5009,380.5485,2015,2,15,7
2015-02-16 7:00,397.8,526.5901,63.2069,376.4392,324.9173,13.3005,0.8949,369.1586,298.3936,0.9774,44.7442,302.8702,25.4663,365.0437,109.5183,243.9821,341.5196,0.6692,84.2698,129.4653,90.0715,340.8699,2.4245,11.3802,245.2024,112.4219,379.9374,199.7672,380.5159,380.5843,2015,2,16,7
2015-02-17 7:00,396.0,526.9994,64.2986,376.4341,324.0948,13.2989,0.9008,367.8384,298.3381,0.9814,45.1214,297.8801,27.1981,365.1474,109.4845,245.6242,345.6833,0.669,86.4048,130.2363,46.8672,384.6636,2.429,11.4957,243.8821,112.1135,380.041,198.1729,381.0412,380.9918,2015,2,17,7
2015-02-18 7:00,401.0,528.727,63.9355,376.7426,325.2736,13.3001,0.893,370.9051,299.1995,0.9746,42.9777,307.5795,24.2179,365.4684,109.492,244.6638,342.63,0.6693,82.5811,128.062,61.5784,363.0712,2.347,11.3134,246.6877,117.7192,380.015,198.437,381.0333,381.123,2015,2,18,7
2015-02-19 7:00,399.2,528.9238,64.0437,376.7428,325.1812,13.2996,0.9011,370.394,298.5976,0.9831,44.4788,304.3504,23.9952,365.6062,109.6487,247.3059,341.5154,0.6692,89.9959,126.2242,65.5935,364.9613,2.4362,11.6847,246.8088,115.426,380.0385,202.038,381.0982,381.1395,2015,2,19,7
2015-02-20 7:00,398.6,528.7807,63.8337,376.7354,325.5386,13.3021,0.8998,370.2484,299.1206,0.981,44.8483,306.9149,27.3021,365.179,109.5758,247.3136,344.8278,0.6693,89.0878,126.6356,75.3103,352.0768,2.2333,12.2304,247.8047,116.4471,379.8988,202.5489,381.0283,381.0784,2015,2,20,7
2015-02-21 7:00,399.2,527.519,63.7651,376.7588,324.9104,13.3013,0.9043,370.2159,299.2796,0.9871,45.5298,306.5103,26.3858,365.5665,109.3972,242.6537,343.1554,0.6694,88.278,124.7151,76.9622,352.0623,2.3135,11.1533,247.7421,116.4087,380.0469,202.2411,380.9047,380.945,2015,2,21,7
2015-02-22 7:00,396.0,526.3417,63.6865,377.7331,325.7167,13.2989,0.9053,369.79,299.0705,0.988,46.0675,303.3827,28.2743,365.8449,109.2584,246.6602,346.4361,0.6693,88.1977,124.5664,75.8649,352.5094,2.1601,11.6286,248.1809,115.5943,380.0285,202.4742,380.8516,380.7845,2015,2,22,7
2015-02-23 7:00,407.0,528.2853,66.7223,377.5499,325.7339,13.301,0.9001,372.1714,298.986,0.9818,43.3614,310.9766,23.404,366.4774,109.6464,237.7418,343.4129,0.6689,85.2957,129.0645,71.092,354.9642,2.4659,11.956,250.4101,119.8614,379.9155,203.0195,381.0646,381.1028,2015,2,23,7
2015-02-24 7:00,405.4,541.5943,67.0079,377.7346,325.7523,13.3,0.9101,372.8605,299.0107,0.9916,44.9627,312.4647,21.9385,366.6606,109.5585,245.2034,343.111,0.6692,92.4247,132.9992,82.3882,352.598,2.588,12.251,250.6497,124.2078,379.9529,203.515,381.5907,381.5359,2015,2,24,7
2015-02-25 7:00,407.2,541.2477,66.5674,377.7513,325.7057,13.2988,0.9095,372.3319,299.4414,0.9917,45.5561,311.8207,25.2056,365.9957,109.3835,247.0566,345.5088,0.6691,94.4719,132.83,78.4727,355.5725,2.596,11.7022,250.3022,124.5399,379.9352,203.2503,381.522,381.5044,2015,2,25,7
2015-02-26 7:00,403.0,541.9783,66.0934,377.721,325.891,13.3006,0.9068,371.5993,298.8864,0.9887,45.2815,310.1834,27.8861,365.6298,109.5094,245.7649,346.721,0.6694,91.2457,130.6422,75.6671,361.2895,2.4792,11.8805,249.9424,122.6623,394.8951,203.5683,381.4109,381.3576,2015,2,26,7
2015-02-27 7:00,404.2,542.9462,65.6786,377.528,326.1354,13.2992,0.9043,372.2156,297.9928,0.9849,43.8711,310.582,21.1435,366.5326,109.8168,243.8962,344.6862,0.6691,91.47,129.7158,64.6274,374.8385,2.4753,11.6122,249.8545,122.8574,394.9871,203.9429,381.7215,381.7518,2015,2,27,7
2015-02-28 7:00,411.4,542.249,66.3431,377.3375,325.6882,13.3017,0.9082,373.1909,299.2667,0.9901,45.1468,316.7101,20.2126,365.9489,109.4834,240.2411,342.6828,0.6693,91.8434,131.2292,72.666,362.0785,2.4923,11.2918,249.7969,125.1722,395.0245,203.5715,381.4794,381.4452,2015,2,28,7
2015-03-01 7:00,407.0,542.6103,66.5562,377.6546,326.0478,13.3005,0.9075,373.0342,298.3862,0.9889,44.6993,313.3086,21.4713,366.46,109.5954,243.952,343.3617,0.6694,91.9173,129.0332,78.2718,361.6142,2.4932,12.0999,249.2404,122.0495,399.9817,203.7348,381.4832,381.5936,2015,3,1,7
2015-03-02 7:00,404.2,543.9497,64.3774,377.6289,326.7739,13.2999,0.9058,372.8179,298.2284,0.9866,44.5429,312.532,21.8223,366.6287,109.6323,244.6437,344.1805,0.6693,92.3611,127.3773,83.8295,357.0226,2.443,11.8677,248.7882,119.793,399.8379,203.7495,381.5075,381.5458,2015,3,2,7
2015-03-03 7:00,409.4,555.74,67.6263,378.3291,326.7437,13.2957,0.9107,372.8101,299.8587,0.9917,45.3914,310.7408,26.2321,367.0266,109.4816,247.0233,346.6356,0.6692,93.7993,129.2646,92.049,359.8424,2.5356,12.1722,247.7209,121.6156,409.9643,202.3672,381.9306,381.8559,2015,3,3,7
2015-03-04 7:00,400.4,559.1299,63.3936,378.5407,330.3077,13.2994,0.8953,372.6421,298.0768,0.9761,42.092,309.1389,21.4832,368.0632,109.7743,245.2159,345.5835,0.6691,87.6136,123.6299,89.6066,369.5344,2.2205,11.3434,247.9391,116.0104,410.0729,204.0345,381.8284,381.8186,2015,3,4,7
2015-03-05 7:00,406.4,556.3891,64.2235,378.5448,329.436,13.2991,0.9001,372.9891,298.9944,0.9816,43.4575,309.5238,22.3861,367.5841,109.6971,247.9095,344.6313,0.6691,91.7207,125.6298,74.3053,380.1495,2.3466,11.8728,247.1963,118.0117,409.9282,203.2663,381.9376,382.0038,2015,3,5,7
2015-03-06 7:00,404.2,555.6575,66.0604,378.2143,328.4825,13.3043,0.8988,372.8654,300.0289,0.9808,44.3194,311.2634,23.0249,367.2379,109.4942,248.0057,344.149,0.6691,90.0813,127.9811,73.4799,376.7317,2.3284,12.0214,247.9229,120.7378,394.9731,200.5537,381.8871,381.97,2015,3,6,7
2015-03-07 7:00,407.0,557.2817,65.1178,378.8331,329.6536,13.2999,0.9073,372.909,300.3247,0.9889,44.325,312.9347,25.2381,367.4752,109.371,242.3545,347.7887,0.6694,88.045,125.6256,84.8447,370.7635,2.3176,11.6732,249.0372,119.4229,394.9056,201.52,381.7335,381.778,2015,3,7,7
2015-03-08 7:00,407.6,557.9733,63.3934,378.9407,330.805,13.2996,0.9037,373.2997,300.3453,0.9853,44.2115,315.5053,25.675,367.7963,109.4719,240.3355,347.5673,0.6694,85.1128,124.8036,82.0317,373.3016,2.2433,10.5639,248.9789,118.4358,402.016,201.6125,381.6834,381.6507,2015,3,8,7
2015-03-09 7:00,406.4,557.9508,63.0987,378.8356,330.8693,13.2963,0.9035,372.9094,300.1912,0.9858,44.2703,314.9635,26.2528,367.4706,109.4618,240.5675,346.9258,0.6694,81.6344,123.155,74.6133,382.4308,2.2156,10.7105,248.7249,117.0912,404.9422,201.3947,381.5798,381.5555,2015,3,9,7
2015-03-10 7:00,400.4,565.3996,64.4395,380.0625,331.4138,13.5018,0.8973,373.8022,299.2491,0.9785,43.3605,307.9229,19.9621,369.3291,110.1528,247.2114,346.4823,0.6494,87.6222,125.5507,97.765,368.8079,2.4511,9.7351,248.0503,119.8901,395.0976,201.7303,382.436,382.4214,2015,3,10,7
2015-03-11 7:00,404.0,567.4495,65.8802,381.2385,332.125,13.5044,0.8917,375.3803,300.2861,0.9729,43.4237,316.866,23.7081,370.324,109.6795,248.4288,349.3871,0.6493,86.5758,131.3174,67.14,394.6733,2.3468,12.2414,250.8592,125.2406,394.9701,201.937,382.8757,382.9074,2015,3,11,7
2015-03-12 7:00,402.2,565.2221,67.1927,381.427,330.3548,13.4971,0.9052,373.6745,300.8991,0.9869,44.3098,307.9935,26.714,369.418,109.6313,251.7878,352.0777,0.6494,97.7915,131.5309,56.7602,405.258,2.6199,12.2611,247.981,122.7115,394.9597,200.4981,383.0218,382.9776,2015,3,12,7
2015-03-13 7:00,402.8,563.2855,66.0179,381.2522,331.3104,13.4993,0.8896,374.2445,301.2807,0.9723,45.3412,312.1363,25.0533,369.297,109.506,251.0483,351.4993,0.6492,91.893,130.6092,60.0514,399.9951,2.4639,12.2445,250.6939,123.1212,394.9463,201.1735,382.9193,382.9168,2015,3,13,7
2015-03-14 7:00,408.8,551.8328,68.3832,381.2373,329.5969,13.3047,0.8931,376.7899,299.3471,0.9745,44.8455,321.6276,22.9042,369.8128,109.4332,248.4489,348.7965,0.6491,99.5313,135.6344,60.0392,385.0777,2.7347,13.1275,250.7616,128.5311,399.9395,201.7957,383.0753,383.0586,2015,3,14,7
2015-03-15 7:00,409.4,550.6192,68.4139,378.9866,329.1565,12.5011,0.9543,375.7552,298.5135,1.0352,42.8791,335.4621,20.9335,368.3372,109.8406,236.8421,348.6748,0.6492,85.2587,132.7529,72.3906,372.776,2.466,12.9498,252.2251,126.9419,399.7847,201.8819,383.0825,383.0388,2015,3,15,7
2015-03-16 7:00,404.2,535.346,69.4708,378.9911,328.6411,12.699,1.0105,372.2388,298.0068,1.0928,44.9605,313.1013,27.1682,367.9495,110.6807,250.7187,347.2878,0.6496,91.6079,119.9444,76.6578,363.7572,2.6102,16.1735,253.2163,113.2236,369.9487,200.9681,383.1494,383.0911,2015,3,16,7
2015-03-17 7:00,411.4,536.4023,70.0396,375.0,325.0976,10.0001,1.0005,370.9107,292.0967,1.0828,44.5326,329.1408,22.9819,366.3901,109.7501,249.0142,346.461,0.6495,93.711,119.9647,72.3311,373.4902,2.6685,15.9514,245.5224,110.7855,399.9369,200.69,383.4312,383.428,2015,3,17,7
2015-03-18 7:00,397.4,536.1059,71.1672,374.9933,325.4842,9.9984,1.0006,369.4021,290.7373,1.0836,44.1663,314.4115,18.1427,366.1902,110.8155,247.8272,338.576,0.6489,87.9266,121.383,74.9627,375.939,2.5982,14.7063,243.0732,105.8475,400.0206,198.7256,383.4522,383.5314,2015,3,18,7
2015-03-19 7:00,403.0,537.1153,70.9914,375.0108,326.3664,9.9986,0.9959,369.7454,290.4647,1.0786,43.6851,317.3983,20.4058,366.275,110.8814,246.3362,340.5923,0.6492,80.9581,120.4022,84.4772,367.12,2.4821,15.0536,244.5279,105.9817,399.9016,198.8819,383.5256,383.5545,2015,3,19,7
2015-03-20 7:00,393.0,535.801,70.9852,374.9968,325.5117,10.0022,1.0967,367.1372,291.6669,1.1796,44.7963,309.3803,26.4273,366.0532,109.1701,248.1671,343.9735,0.7451,89.3707,121.2045,87.1641,370.1275,2.4203,15.3071,240.9042,101.0519,399.9613,196.8536,383.7598,383.6613,2015,3,20,7
